Fecha_Recibo_de_Requisicion,Numero_de_Caso,Id_de_Requisicion,Numero_de_Requisicion,Titulo_de_Requisicion,Categoria_de_Requisicion,SubCategoria_de_Requisicion,Comprador_Asignado,Agencia,Usuario_de_Agencia,Nombre_de_Agencia_de_Entrega,Metodo_de_Adquisicion,Razon_de_Compra_Excepcional,Uso_de_Fondos_Federales,Id_de_Articulo,Descripcion_de_Articulo,Marca_de_Articulo,Modelo_de_Articulo,Garantia_de_Articulo,Unidad_de_Medida,Cantidad,Costo_Unitario_Estimado_de_Articulo,Costo_Estimado_Total_de_Orden_de_Articulo,Numero_de_Contrato,Estatus_de_Requisicion,Costo_Final_de_Orden_de_Articulo,Fecha_de_Fin_de_Requisicion,Numero_de_Orden_de_Compra,Id_de_Archivo_de_Orden_de_Compra,Nombre_de_Archivo_de_Orden_de_Compra,Url_de_Archivo_de_Orden_de_Compra,Fecha_de_Orden_de_Compra,Id_de_Suplidor,Nombre_de_Suplidor,Telefono_de_Contacto_de_Suplidor,Email_de_Suplidor,Costo_Unitario_Final_de_Articulo
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,185844,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION
III-A NIJ .06     

COLOR NEGRO 

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE SMALL",ONYX,ATLAS PX,N/A,EA,1.000000,650.000000,650.0000,null,Orden de compra o contrato completado,650.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,185845,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION 
III-A NIJ .06    

COLOR NEGRO  

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE MEDIUM ",ONYX,ATLAS PX,N/A,EA,13.000000,650.000000,8450.0000,null,Orden de compra o contrato completado,8450.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,185846,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION 
III-A NIJ .06     

COLOR NEGRO  

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE LARGE",ONYX,ATLAS PX,N/A,EA,31.000000,650.000000,20150.0000,null,Orden de compra o contrato completado,20150.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,185847,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION 
III-A NIJ .06     

COLOR NEGRO  

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE XL",ONYX,ATLAS PX,N/A,EA,18.000000,650.000000,11700.0000,null,Orden de compra o contrato completado,11700.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,185848,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION 
III-A NIJ .06     

COLOR NEGRO  

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE 2XL",ONYX,ATLAS PX,N/A,EA,14.000000,650.000000,9100.0000,null,Orden de compra o contrato completado,9100.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,185849,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION 
III-A NIJ .06     

COLOR NEGRO  

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE 4X",ONYX,ATLAS PX,N/A,EA,7.000000,650.000000,4550.0000,null,Orden de compra o contrato completado,4550.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,185850,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION 
III-A NIJ .06     

COLOR NEGRO  

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE 5X",ONYX,ATLAS PX,N/A,EA,1.000000,650.000000,650.0000,null,Orden de compra o contrato completado,650.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-01 00:00:00.0000000,24J-09287,43150,R-2024-66,Chalecos antibalas,Seguridad & Protección,Equipos de Protección,Carolina Pizarro Durán,Guardia Nacional de Puerto Rico,Elvin Garcia Torres,Guardia Nacional de Puerto Rico,Mercado Abierto,null,No,258316,"CHALECOS ANTIBALAS 

NIVEL DE PROTECCION 
III-A NIJ .06     

COLOR NEGRO  

CON ID PANEL ATRAS QUE DEBE DECIR: STATE MILITARY POLICE

SIZE 6X",ONYX,ALTAS PX,N/A,EA,1.000000,650.000000,650.0000,null,Orden de compra o contrato completado,650.0000,2024-05-28 00:00:00.0000000,2444009269M1,1631828,null,https://asgprjedi1.blob.core.windows.net/attachments/1631828.pdf,2024-05-28 14:03:27.2300000,13060,"OTO-METRICS PUERTO RICO, INC.",(787) 292-6222,IPORTELA@OTOMETRICSPR.COM,650.00000000000000000
2023-12-08 00:00:00.0000000,24J-09811,44060,10499,Aires Acondicionado,Productos & Servicios Industriales,Productos Industriales,Jan Figueroa Rivera,Autoridad de Tierras de Puerto Rico,Miguel A. Meléndez García,Autoridad de Tierras de Puerto Rico / Infraestrutura Rural,Compra Informal,null,No,189423,"COMPRA DE AIRES ACONDICIONADO 12 BTU 21 SEER INVERTER PARED/PISO PARA LA SRA. CARMEN GONZALEZ ESPADA PARCELAS VIEJA AQUILITA CZALLE 2 #131 JUANA DIAZ, COORDINAR INSTALACIÓN CON EL ING LUIS R MIRABAL AL 787-246-4307",TGM,N/A,N/A,UNO,1.000000,650.000000,650.0000,null,Orden de compra o contrato completado,895.0000,2024-05-28 00:00:00.0000000,2444009391M2,1631852,null,https://asgprjedi1.blob.core.windows.net/attachments/1631852.pdf,2024-05-28 14:05:29.6600000,1421,XPERT'S LLC,(787) 273-0303,ALBERTO@XPERTSINC.COM,895.00000000000000000
2023-12-08 00:00:00.0000000,24J-09811,44060,10499,Aires Acondicionado,Productos & Servicios Industriales,Productos Industriales,Jan Figueroa Rivera,Autoridad de Tierras de Puerto Rico,Miguel A. Meléndez García,Autoridad de Tierras de Puerto Rico / Infraestrutura Rural,Compra Informal,null,No,189424,INSTSALACIÓN BASICA 15 PIES ENTRE EL CONDESADOR Y EL EVAPORADOR CON INSTALACIÓN ELECTRICA CON BREAKER DISPONIBLE ,N/A,N/A,N/A,UNO,1.000000,0.000000,0.0000,null,Orden de compra o contrato completado,575.0000,2024-05-28 00:00:00.0000000,2444009391M2,1631852,null,https://asgprjedi1.blob.core.windows.net/attachments/1631852.pdf,2024-05-28 14:05:29.6600000,1421,XPERT'S LLC,(787) 273-0303,ALBERTO@XPERTSINC.COM,575.00000000000000000
